weekNum,gameTimeEastern,homeID,homeScore,visitorID,visitorScore
11,2014-11-16 13:00:00,GB,null,PHI,null
11,2014-11-16 13:00:00,KC,null,SEA,null
11,2014-11-16 13:00:00,STL,null,DEN,null
11,2014-11-16 13:00:00,NO,null,CIN,null
11,2014-11-16 13:00:00,NYG,null,SF,null
11,2014-11-16 13:00:00,WAS,null,TB,null
11,2014-11-16 13:00:00,CAR,null,ATL,null
11,2014-11-16 16:05:00,SD,null,OAK,null
11,2014-11-16 16:25:00,ARI,null,DET,null
11,2014-11-16 20:30:00,IND,null,NE,null
11,2014-11-17 20:30:00,TEN,null,PIT,null
12,2014-11-20 20:25:00,OAK,null,KC,null
12,2014-11-23 13:00:00,ATL,null,CLE,null
12,2014-11-23 13:00:00,BUF,null,NYJ,null
12,2014-11-23 13:00:00,CHI,null,TB,null
12,2014-11-23 13:00:00,IND,null,JAX,null
12,2014-11-23 13:00:00,MIN,null,GB,null
12,2014-11-23 13:00:00,NE,null,DET,null
12,2014-11-23 13:00:00,PHI,null,TEN,null
12,2014-11-23 13:00:00,HOU,null,CIN,null
12,2014-11-23 16:05:00,SD,null,STL,null
12,2014-11-23 16:05:00,SEA,null,ARI,null
12,2014-11-23 16:25:00,DEN,null,MIA,null
12,2014-11-23 16:25:00,SF,null,WAS,null
12,2014-11-23 20:30:00,NYG,null,DAL,null
12,2014-11-24 20:30:00,NO,null,BAL,null
13,2014-11-27 12:30:00,DET,null,CHI,null
13,2014-11-27 16:30:00,DAL,null,PHI,null
13,2014-11-27 20:30:00,SF,null,SEA,null
13,2014-11-30 13:00:00,BUF,null,CLE,null
13,2014-11-30 13:00:00,IND,null,WAS,null
13,2014-11-30 13:00:00,STL,null,OAK,null
13,2014-11-30 13:00:00,MIN,null,CAR,null
13,2014-11-30 13:00:00,PIT,null,NO,null
13,2014-11-30 13:00:00,TB,null,CIN,null
13,2014-11-30 13:00:00,JAX,null,NYG,null
13,2014-11-30 13:00:00,BAL,null,SD,null
13,2014-11-30 13:00:00,HOU,null,TEN,null
13,2014-11-30 16:05:00,ATL,null,ARI,null
13,2014-11-30 16:25:00,GB,null,NE,null
13,2014-11-30 16:25:00,KC,null,DEN,null
13,2014-12-1 20:30:00,NYJ,null,MIA,null
14,2014-12-4 20:25:00,CHI,null,DAL,null
14,2014-12-7 13:00:00,CIN,null,PIT,null
14,2014-12-7 13:00:00,CLE,null,IND,null
14,2014-12-7 13:00:00,DET,null,TB,null
14,2014-12-7 13:00:00,TEN,null,NYG,null
14,2014-12-7 13:00:00,MIA,null,BAL,null
14,2014-12-7 13:00:00,MIN,null,NYJ,null
14,2014-12-7 13:00:00,NO,null,CAR,null
14,2014-12-7 13:00:00,WAS,null,STL,null
14,2014-12-7 13:00:00,JAX,null,HOU,null
14,2014-12-7 16:05:00,DEN,null,BUF,null
14,2014-12-7 16:05:00,ARI,null,KC,null
14,2014-12-7 16:25:00,OAK,null,SF,null
14,2014-12-7 16:25:00,PHI,null,SEA,null
14,2014-12-7 20:30:00,SD,null,NE,null
14,2014-12-8 20:30:00,GB,null,ATL,null
15,2014-12-11 20:25:00,STL,null,ARI,null
15,2014-12-14 13:00:00,ATL,null,PIT,null
15,2014-12-14 13:00:00,BUF,null,GB,null
15,2014-12-14 13:00:00,CLE,null,CIN,null
15,2014-12-14 13:00:00,DET,null,MIN,null
15,2014-12-14 13:00:00,IND,null,HOU,null
15,2014-12-14 13:00:00,KC,null,OAK,null
15,2014-12-14 13:00:00,NE,null,MIA,null
15,2014-12-14 13:00:00,NYG,null,WAS,null
15,2014-12-14 13:00:00,CAR,null,TB,null
15,2014-12-14 13:00:00,BAL,null,JAX,null
15,2014-12-14 16:05:00,TEN,null,NYJ,null
15,2014-12-14 16:05:00,SD,null,DEN,null
15,2014-12-14 16:25:00,SEA,null,SF,null
15,2014-12-14 20:30:00,PHI,null,DAL,null
15,2014-12-15 20:20:00,CHI,null,NO,null
16,2014-12-18 20:20:00,JAX,null,TEN,null
16,2014-12-20 13:00:00,SF,null,SD,null
16,2014-12-20 13:00:00,WAS,null,PHI,null
16,2014-12-21 13:00:00,CHI,null,DET,null
16,2014-12-21 13:00:00,MIA,null,MIN,null
16,2014-12-21 13:00:00,NO,null,ATL,null
16,2014-12-21 13:00:00,NYJ,null,NE,null
16,2014-12-21 13:00:00,PIT,null,KC,null
16,2014-12-21 13:00:00,TB,null,GB,null
16,2014-12-21 13:00:00,CAR,null,CLE,null
16,2014-12-21 13:00:00,HOU,null,BAL,null
16,2014-12-21 16:05:00,STL,null,NYG,null
16,2014-12-21 16:25:00,DAL,null,IND,null
16,2014-12-21 16:25:00,OAK,null,BUF,null
16,2014-12-21 20:30:00,ARI,null,SEA,null
16,2014-12-22 20:30:00,CIN,null,DEN,null
17,2014-12-28 13:00:00,ATL,null,CAR,null
17,2014-12-28 13:00:00,GB,null,DET,null
17,2014-12-28 13:00:00,TEN,null,IND,null
17,2014-12-28 13:00:00,KC,null,SD,null
17,2014-12-28 13:00:00,MIA,null,NYJ,null
17,2014-12-28 13:00:00,MIN,null,CHI,null
17,2014-12-28 13:00:00,NE,null,BUF,null
17,2014-12-28 13:00:00,NYG,null,PHI,null
17,2014-12-28 13:00:00,PIT,null,CIN,null
17,2014-12-28 13:00:00,TB,null,NO,null
17,2014-12-28 13:00:00,WAS,null,DAL,null
17,2014-12-28 13:00:00,BAL,null,CLE,null
17,2014-12-28 13:00:00,HOU,null,JAX,null
17,2014-12-28 16:25:00,DEN,null,OAK,null
17,2014-12-28 16:25:00,SF,null,ARI,null
17,2014-12-28 16:25:00,SEA,null,STL,null
