weekNum,gameTimeEastern,homeID,homeTeam,visitorID,visitorTeam
"14","2010-12-12 16:05:00","NO","Saints","STL","Rams",
"14","2010-12-12 16:05:00","SF","49ers","SEA","Seahawks",
"14","2010-12-12 16:15:00","NYJ","Jets","MIA","Dolphins",
"14","2010-12-12 16:15:00","ARI","Cardinals","DEN","Broncos",
"14","2010-12-12 16:15:00","SD","Chargers","KC","Chiefs",
"14","2010-12-12 20:20:00","DAL","Cowboys","PHI","Eagles",
"14","2010-12-13 20:30:00","HOU","Texans","BAL","Ravens",
"15","2010-12-16 20:20:00","SD","Chargers","SF","49ers",
"15","2010-12-19 13:00:00","CIN","Bengals","CLE","Browns",
"15","2010-12-19 13:00:00","DAL","Cowboys","WAS","Redskins",
"15","2010-12-19 13:00:00","TEN","Titans","HOU","Texans",
"15","2010-12-19 13:00:00","IND","Colts","JAX","Jaguars",
"15","2010-12-19 13:00:00","STL","Rams","KC","Chiefs",
"15","2010-12-19 13:00:00","MIA","Dolphins","BUF","Bills",
"15","2010-12-19 13:00:00","NYG","Giants","PHI","Eagles",
"15","2010-12-19 13:00:00","TB","Buccaneers","DET","Lions",
"15","2010-12-19 13:00:00","CAR","Panthers","ARI","Cardinals",
"15","2010-12-19 13:00:00","BAL","Ravens","NO","Saints",
"15","2010-12-19 16:05:00","SEA","Seahawks","ATL","Falcons",
"15","2010-12-19 16:15:00","OAK","Raiders","DEN","Broncos",
"15","2010-12-19 16:15:00","PIT","Steelers","NYJ","Jets",
"15","2010-12-19 20:20:00","NE","Patriots","GB","Packers",
"15","2010-12-20 20:30:00","MIN","Vikings","CHI","Bears",
"16","2010-12-23 20:20:00","PIT","Steelers","CAR","Panthers",
"16","2010-12-25 19:30:00","ARI","Cardinals","DAL","Cowboys",
"16","2010-12-26 13:00:00","BUF","Bills","NE","Patriots",
"16","2010-12-26 13:00:00","CHI","Bears","NYJ","Jets",
"16","2010-12-26 13:00:00","CLE","Browns","BAL","Ravens",
"16","2010-12-26 13:00:00","KC","Chiefs","TEN","Titans",
"16","2010-12-26 13:00:00","STL","Rams","SF","49ers",
"16","2010-12-26 13:00:00","MIA","Dolphins","DET","Lions",
"16","2010-12-26 13:00:00","PHI","Eagles","MIN","Vikings",
"16","2010-12-26 13:00:00","TB","Buccaneers","SEA","Seahawks",
"16","2010-12-26 13:00:00","JAX","Jaguars","WAS","Redskins",
"16","2010-12-26 16:05:00","DEN","Broncos","HOU","Texans",
"16","2010-12-26 16:05:00","OAK","Raiders","IND","Colts",
"16","2010-12-26 16:15:00","GB","Packers","NYG","Giants",
"16","2010-12-26 20:20:00","CIN","Bengals","SD","Chargers",
"16","2010-12-27 20:30:00","ATL","Falcons","NO","Saints",
"17","2011-01-02 13:00:00","ATL","Falcons","CAR","Panthers",
"17","2011-01-02 13:00:00","CLE","Browns","PIT","Steelers",
"17","2011-01-02 13:00:00","DET","Lions","MIN","Vikings",
"17","2011-01-02 13:00:00","GB","Packers","CHI","Bears",
"17","2011-01-02 13:00:00","IND","Colts","TEN","Titans",
"17","2011-01-02 13:00:00","KC","Chiefs","OAK","Raiders",
"17","2011-01-02 13:00:00","NE","Patriots","MIA","Dolphins",
"17","2011-01-02 13:00:00","NO","Saints","TB","Buccaneers",
"17","2011-01-02 13:00:00","NYJ","Jets","BUF","Bills",
"17","2011-01-02 13:00:00","PHI","Eagles","DAL","Cowboys",
"17","2011-01-02 13:00:00","WAS","Redskins","NYG","Giants",
"17","2011-01-02 13:00:00","BAL","Ravens","CIN","Bengals",
"17","2011-01-02 13:00:00","HOU","Texans","JAX","Jaguars",
"17","2011-01-02 16:15:00","DEN","Broncos","SD","Chargers",
"17","2011-01-02 16:15:00","SF","49ers","ARI","Cardinals",
"17","2011-01-02 16:15:00","SEA","Seahawks","STL","Rams",
